Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,61.540001,64.599998,60.700001,59.824326,63.900002,0
2016-09-01,63.720001,64.379997,62.020000,59.674530,63.740002,0
2016-10-01,63.840000,64.000000,61.070000,57.352707,61.259998,0
2016-11-01,60.840000,66.489998,59.919998,59.094074,63.119999,0
2016-12-01,63.029999,66.269997,62.970001,64.147224,64.330002,0
2017-01-01,64.959999,66.320000,64.839996,66.099998,66.099998,0
2017-02-01,66.139999,68.269997,65.870003,67.599998,67.599998,0
2017-03-01,68.639999,68.639999,66.779999,68.550003,68.550003,0
2017-04-01,67.860001,69.160004,66.410004,68.639999,68.639999,0
2017-05-01,68.760002,68.849998,66.400002,67.199997,67.199997,0
2017-06-01,68.489998,68.860001,67.580002,68.589996,68.589996,0
2017-07-01,68.769997,68.980003,67.580002,68.980003,68.980003,0
