Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,6.880000,6.900000,6.800000,6.880000,6.695739,0
2016-09-01,6.890000,6.890000,6.610000,6.790000,6.621644,0
2016-10-01,6.760000,6.760000,6.470000,6.500000,6.351854,0
2016-11-01,6.500000,6.540000,5.970000,5.970000,5.845678,0
2016-12-01,5.910000,5.990000,5.790000,5.890000,5.780699,0
2017-01-01,5.930000,6.060000,5.890000,5.940000,5.868609,0
2017-02-01,5.910000,6.050000,5.900000,6.020000,5.959770,0
2017-03-01,5.920000,6.010000,5.780000,5.980000,5.931025,0
2017-04-01,6.030000,6.170000,5.990000,6.060000,6.024521,0
2017-05-01,6.010000,6.160000,5.970000,6.160000,6.135091,0
2017-06-01,6.150000,6.330000,6.150000,6.190000,6.177042,0
2017-07-01,6.150000,6.230000,6.090000,6.230000,6.230000,0
