Date,Open,High,Low,Close,Adj CloseVolume
2016-07-29,2099.34,2177.09,2074.02,2173.6,2173.6,11447423168
2016-08-31,2173.15,2193.81,2147.58,2170.95,2173.6,10796813632
2016-09-30,2171.33,2187.87,2119.12,2168.27,2173.6,12214522720
2016-10-31,2164.33,2169.6,2114.72,2126.15,2173.6,11688652832
2016-11-30,2128.68,2214.1,2083.79,2198.81,2173.6,13904185280
2016-12-30,2200.17,2277.53,2187.44,2238.83,2173.6,11612753056
2017-01-31,2251.57,2300.99,2245.13,2278.87,2173.6,11323942688
2017-02-28,2285.59,2371.54,2271.65,2363.64,2173.6,10646061440
2017-03-31,2380.13,2400.98,2322.25,2362.72,2173.6,13198597568
2017-04-28,2362.34,2398.16,2328.95,2384.2,2173.6,9388828384
2017-05-31,2388.5,2418.71,2352.72,2411.8,2173.6,11788541216
2017-06-30,2415.65,2453.82,2405.7,2423.41,2173.6,13090115456
2017-07-31,2431.39,2484.04,2407.7,2472.1,2173.6,9139152352
