Date,Open,High,Low,Close,Adj Close,Volume
2016-07-25,30.920000,31.059999,30.920000,31.059999,30.452217,0
2016-08-01,31.000000,31.070000,30.830000,31.070000,30.462021,0
2016-08-08,31.059999,31.139999,31.059999,31.139999,30.530651,0
2016-08-15,31.190001,31.190001,31.070000,31.139999,30.530651,0
2016-08-22,31.160000,31.219999,31.020000,31.020000,30.413000,0
2016-08-29,31.160000,31.160000,31.080000,31.160000,30.550259,0
2016-09-05,31.250000,31.270000,30.660000,30.660000,30.060043,0
2016-09-12,30.930000,30.930000,30.600000,30.600000,30.001217,0
2016-09-19,30.610001,31.000000,30.610001,30.900000,30.445599,0
2016-09-26,30.770000,31.000000,30.770000,30.950001,30.494865,0
2016-10-03,30.879999,30.879999,30.750000,30.750000,30.297806,0
2016-10-10,30.809999,30.809999,30.520000,30.520000,30.071188,0
2016-10-17,30.490000,30.670000,30.490000,30.639999,30.189421,0
2016-10-24,30.719999,30.719999,30.410000,30.410000,29.962805,0
2016-10-31,30.430000,30.430000,30.090000,30.100000,29.657364,0
2016-11-07,30.469999,30.650000,30.469999,30.650000,30.199276,0
2016-11-14,30.650000,30.840000,30.650000,30.780001,30.327364,0
2016-11-21,30.920000,31.049999,30.920000,31.049999,30.593393,0
2016-11-28,30.969999,31.010000,30.809999,30.850000,30.396336,0
2016-12-05,30.990000,31.440001,30.990000,31.440001,30.977657,0
2016-12-12,31.400000,31.510000,31.280001,31.320000,30.859423,0
2016-12-19,31.400000,31.469999,31.240000,31.240000,30.780602,0
2016-12-26,31.270000,31.270000,31.110001,31.110001,30.835283,0
2017-01-02,31.270000,31.469999,31.270000,31.469999,31.192102,0
2017-01-09,31.420000,31.500000,31.420000,31.480000,31.202013,0
2017-01-16,31.450001,31.450001,31.330000,31.400000,31.122721,0
2017-01-23,31.400000,31.620001,31.400000,31.600000,31.320955,0
2017-01-30,31.469999,31.660000,31.469999,31.660000,31.380424,0
2017-02-06,31.650000,31.870001,31.650000,31.870001,31.588572,0
2017-02-13,31.959999,32.150002,31.959999,32.150002,31.866102,0
2017-02-20,32.270000,32.340000,32.250000,32.340000,32.054420,0
2017-02-27,32.360001,32.490002,32.279999,32.360001,32.074245,0
2017-03-06,32.279999,32.279999,32.080002,32.160000,31.876011,0
2017-03-13,32.150002,32.340000,32.090000,32.320000,32.034599,0
2017-03-20,32.290001,32.290001,32.049999,32.080002,31.796719,0
2017-03-27,32.090000,32.160000,32.049999,32.139999,31.856186,0
2017-04-03,32.130001,32.130001,32.070000,32.090000,31.952000,0
2017-04-10,32.119999,32.160000,31.980000,31.980000,31.842472,0
2017-04-17,32.139999,32.240002,32.099998,32.180000,32.041615,0
2017-04-24,32.369999,32.500000,32.369999,32.439999,32.300491,0
2017-05-01,32.459999,32.520000,32.419998,32.520000,32.380150,0
2017-05-08,32.490002,32.500000,32.459999,32.470001,32.330368,0
2017-05-15,32.570000,32.570000,32.270000,32.470001,32.330368,0
2017-05-22,32.570000,32.740002,32.570000,32.740002,32.599205,0
2017-05-29,32.730000,33.029999,32.730000,33.029999,32.887955,0
2017-06-05,32.970001,32.970001,32.939999,32.959999,32.818256,0
2017-06-12,32.939999,33.070000,32.939999,33.009998,32.868042,0
2017-06-19,33.150002,33.150002,32.889999,32.939999,32.798344,0
2017-06-26,32.970001,32.970001,32.750000,32.770000,32.770000,0
2017-07-03,32.799999,32.820000,32.610001,32.740002,32.740002,0
2017-07-10,32.750000,33.049999,32.750000,33.049999,33.049999,0
2017-07-17,33.070000,33.240002,33.070000,33.240002,33.240002,0
